first name,last name,player,position,TEAM,Games,Gamestarted,Minutes,Goals,Assists,ShotsonGoal,Shots,YellowCards,RedCards,Foulsuffered,Foulscommitted,Offsides,Crosses,CornerKicks,PenaltyGoal,Penaltykicks
 Pierre-Emerick,Aubameyang, Pierre-Emerick Aubameyang,F,arsenal,36,30,2116,22,4,39,94,0,0,14,11,22,70,1,4,1
 Alexandre,Lacazette, Alexandre Lacazette,F,arsenal,35,27,1880,13,8,32,83,2,0,38,33,22,44,0,0,-
 Alex,Iwobi, Alex Iwobi,F,arsenal,35,22,1646,3,6,14,34,0,0,12,5,2,90,1,0,-
 Lucas,Torreira, Lucas Torreira,M,arsenal,34,24,1856,2,2,6,26,7,1,57,28,0,35,18,0,-
 Matteo,Guendouzi, Matteo Guendouzi,M,arsenal,33,23,1751,0,0,4,17,9,0,50,22,0,26,2,0,-
 Bernd,Leno, Bernd Leno,G,arsenal,32,31,2610,0,0,0,0,0,0,4,0,0,1,0,0,-
 Shkodran,Mustafi, Shkodran Mustafi,D,arsenal,31,31,1805,2,0,10,18,9,0,7,31,5,14,0,0,-
 Granit,Xhaka, Granit Xhaka,M,arsenal,29,29,1756,4,2,13,30,10,0,38,29,1,134,98,0,-
 Aaron,Ramsey, Aaron Ramsey,M,arsenal,28,14,816,4,6,14,35,0,0,16,13,3,27,0,0,-
 Henrikh,Mkhitaryan, Henrikh Mkhitaryan,M,arsenal,25,19,1201,6,4,15,50,1,0,10,21,4,82,48,0,-
,Sokratis, Sokratis,D,arsenal,25,25,1710,1,2,2,10,12,0,19,30,0,2,0,0,-
 Mesut,Ozil, Mesut Ozil,M,arsenal,24,20,1149,5,2,7,11,2,0,15,10,11,78,37,0,-
 Sead,Kolasinac, Sead Kolasinac,D,arsenal,24,22,1891,0,5,2,9,5,0,11,19,10,88,4,0,-
 Nacho,Monreal, Nacho Monreal,D,arsenal,22,21,1231,1,3,4,6,5,0,11,9,1,36,0,0,-
 Hector,Bellerin, Hector Bellerin,D,arsenal,19,18,723,0,5,4,18,3,0,2,7,1,56,0,0,-
 Laurent,Koscielny, Laurent Koscielny,D,arsenal,17,13,1330,3,0,4,5,1,0,16,11,0,1,0,0,-
 Ainsley,Maitland-Niles, Ainsley Maitland-Niles,M,arsenal,16,11,951,1,1,3,5,1,0,11,6,1,27,0,0,-
 Stephan,Lichtsteiner, Stephan Lichtsteiner,D,arsenal,14,10,824,0,0,0,1,3,0,7,8,1,37,0,0,-
 Rob,Holding, Rob Holding,D,arsenal,10,9,486,0,0,0,2,1,0,2,3,0,1,0,0,-
 Danny,Welbeck, Danny Welbeck,F,arsenal,8,1,31,1,1,2,4,0,0,0,1,1,4,0,0,-
 Mohamed,Elneny, Mohamed Elneny,M,arsenal,8,5,379,0,0,0,7,0,0,0,1,1,3,0,0,-
 Petr,Cech, Petr Cech,G,arsenal,7,7,-,0,0,0,0,0,0,-,-,0,0,0,-,-
 Eddie,Nketiah, Eddie Nketiah,F,arsenal,5,0,62,1,0,1,3,0,0,2,0,2,1,0,0,-
 Konstantinos,Mavropanos, Konstantinos Mavropanos,D,arsenal,4,3,149,0,0,0,2,1,0,0,2,0,0,0,0,-
 Denis,Suarez, Denis Suarez,M,arsenal,4,0,67,0,0,0,0,0,0,1,0,0,0,0,0,-
 Carl,Jenkinson, Carl Jenkinson,D,arsenal,3,2,165,0,0,0,0,0,0,0,1,0,5,0,0,-
 Joe,Willock, Joe Willock,M,arsenal,2,1,64,0,0,0,2,0,0,1,0,0,0,0,0,-
 Bukayo,Saka, Bukayo Saka,F,arsenal,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
 Ryan,Fraser, Ryan Fraser,M,bournemouth,38,35,2400,7,14,27,50,2,0,51,6,10,315,119,0,-
 Nathan,Ake, Nathan Ake,D,bournemouth,38,38,2602,4,0,7,22,3,0,15,24,2,8,0,0,-
 Joshua,King, Joshua King,F,bournemouth,35,34,2190,12,3,24,69,3,0,33,41,9,72,2,2,2
 Steve,Cook, Steve Cook,D,bournemouth,31,31,1977,1,0,9,21,3,0,20,13,1,11,0,0,-
 Callum,Wilson, Callum Wilson,F,bournemouth,30,29,1747,14,9,29,69,3,0,19,24,18,36,2,1,-
 David,Brooks, David Brooks,M,bournemouth,30,29,1725,7,5,23,42,3,0,32,10,2,50,16,0,-
 Jefferson,Lerma, Jefferson Lerma,M,bournemouth,30,29,1985,2,0,8,31,12,0,38,34,3,11,0,0,-
 Dan,Gosling, Dan Gosling,M,bournemouth,25,19,1231,2,1,8,21,8,0,18,19,2,8,1,0,-
 Adam,Smith, Adam Smith,D,bournemouth,25,25,1314,1,1,1,9,5,1,30,12,0,30,6,0,-
 Lys,Mousset, Lys Mousset,F,bournemouth,24,1,330,1,0,7,12,1,0,5,7,4,4,0,0,-
 Asmir,Begovic, Asmir Begovic,G,bournemouth,24,24,1350,0,0,0,0,0,0,3,0,0,1,0,0,-
 Junior,Stanislas, Junior Stanislas,M,bournemouth,23,11,944,2,3,9,32,1,0,10,6,3,52,23,0,-
 Charlie,Daniels, Charlie Daniels,D,bournemouth,21,17,1313,1,0,3,12,4,0,7,4,0,44,3,0,-
 Jordon,Ibe, Jordon Ibe,M,bournemouth,19,9,747,1,1,3,9,1,0,8,7,0,34,5,0,-
 Andrew,Surman, Andrew Surman,M,bournemouth,18,16,1080,0,0,1,9,2,0,4,3,0,6,1,0,-
 Simon,Francis, Simon Francis,D,bournemouth,17,13,765,0,2,1,3,1,0,7,3,3,38,1,0,-
 Nathaniel,Clyne, Nathaniel Clyne,D,bournemouth,14,13,1255,0,1,0,2,2,0,4,9,0,21,1,0,-
 Lewis,Cook, Lewis Cook,M,bournemouth,13,8,435,0,0,0,4,2,0,4,10,0,12,1,0,-
 Chris,Mepham, Chris Mepham,D,bournemouth,13,10,848,0,1,0,2,1,0,4,7,0,1,0,0,-
 Artur,Boruc, Artur Boruc,G,bournemouth,12,12,1080,0,0,0,0,2,0,0,0,0,0,0,0,-
 Diego,Rico, Diego Rico,D,bournemouth,12,5,380,0,0,0,9,1,0,7,8,0,45,9,0,-
 Dominic,Solanke, Dominic Solanke,F,bournemouth,10,2,340,0,1,3,10,0,0,9,2,1,3,0,0,-
 Jack,Simpson, Jack Simpson,D,bournemouth,6,4,402,0,0,1,2,0,0,1,3,0,0,0,0,-
 Tyrone,Mings, Tyrone Mings,D,bournemouth,5,2,141,0,0,0,0,0,0,1,0,0,2,0,0,-
 Jermain,Defoe, Jermain Defoe,F,bournemouth,4,0,9,0,0,0,0,0,0,0,0,0,2,0,0,-
 Sam,Surridge, Sam Surridge,F,bournemouth,2,0,11,0,0,1,1,0,0,1,0,0,0,1,0,-
 Mark,Travers, Mark Travers,G,bournemouth,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,-
 Emerson,Hyndman, Emerson Hyndman,M,bournemouth,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,-
 Glenn,Murray, Glenn Murray,F,brighton,38,30,1850,13,1,23,54,5,0,37,52,37,16,0,2,-
 Lewis,Dunk, Lewis Dunk,D,brighton,36,36,2502,2,1,4,21,5,0,10,18,0,4,0,0,-
 Shane,Duffy, Shane Duffy,D,brighton,35,35,2278,5,1,16,37,4,1,6,15,4,4,0,0,-
 Solly,March, Solly March,M,brighton,35,30,1745,1,5,10,43,1,0,23,19,7,160,38,0,-
 Mathew,Ryan, Mathew Ryan,G,brighton,34,34,2250,0,0,0,0,2,0,1,1,0,1,0,0,-
 Anthony,Knockaert, Anthony Knockaert,M,brighton,30,18,1153,2,6,11,29,4,1,12,16,4,123,46,0,-
 Davy,Propper, Davy Propper,M,brighton,30,30,1857,1,1,2,12,2,0,11,23,0,32,5,0,-
 Dale,Stephens, Dale Stephens,M,brighton,30,29,1927,1,1,1,13,6,1,8,31,0,16,2,0,-
 Yves,Bissouma, Yves Bissouma,M,brighton,28,17,1364,0,0,3,30,5,0,19,30,2,13,3,0,-
 Jurgen,Locadia, Jurgen Locadia,F,brighton,26,12,1021,2,0,10,27,1,0,7,14,11,19,0,0,-
 Pascal,Gross, Pascal Gross,M,brighton,25,24,1656,3,3,9,22,1,0,9,14,4,159,55,0,-
 Martin,Montoya, Martin Montoya,D,brighton,25,24,1626,0,1,2,7,4,0,9,19,0,41,0,0,-
 Florin,Andone, Florin Andone,F,brighton,23,8,874,3,0,8,19,5,0,18,27,5,12,0,0,-
,Bernardo, Bernardo,D,brighton,22,19,1638,0,1,3,9,4,0,28,15,2,36,0,0,-
 Gaetan,Bong, Gaetan Bong,D,brighton,22,19,1021,0,0,0,2,0,0,2,7,0,62,0,0,-
 Alireza,Jahanbakhsh, Alireza Jahanbakhsh,F,brighton,19,12,763,0,0,7,22,2,0,5,11,6,28,5,0,-
 Beram,Kayal, Beram Kayal,M,brighton,18,9,596,1,1,2,5,4,0,4,10,0,12,2,0,-
 Jose,Izquierdo, Jose Izquierdo,F,brighton,15,9,688,0,0,3,14,1,0,5,5,5,8,0,0,-
,Bruno, Bruno,D,brighton,14,14,952,0,1,0,2,2,0,7,4,3,17,0,0,-
 Leon,Balogun, Leon Balogun,D,brighton,8,5,431,1,0,1,2,2,0,2,4,1,3,0,0,-
 David,Button, David Button,G,brighton,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,-
 Chris,Wood, Chris Wood,F,burnley,38,29,2190,10,2,26,61,2,0,10,2,2,0,0,0,-
 Ben,Mee, Ben Mee,D,burnley,38,38,2610,0,2,4,22,9,0,0,2,9,0,0,0,-
 Charlie,Taylor, Charlie Taylor,D,burnley,38,35,2610,0,1,0,6,2,0,0,1,2,0,6,2,-
 Ashley,Barnes, Ashley Barnes,F,burnley,37,26,2161,12,2,30,64,8,0,12,2,8,0,0,0,-
 Jack,Cork, Jack Cork,M,burnley,37,37,2503,1,2,2,18,6,0,1,2,6,0,0,0,-
 James,Tarkowski, James Tarkowski,D,burnley,35,35,2340,3,1,9,18,8,0,3,1,8,0,1,0,-
 Ashley,Westwood, Ashley Westwood,M,burnley,34,31,2177,2,7,7,24,5,0,2,7,5,0,45,0,-
 Jeff,Hendrick, Jeff Hendrick,M,burnley,32,25,1588,3,0,5,19,4,0,3,0,4,0,2,0,-
 Johann,Gudmundsson, Johann Gudmundsson,M,burnley,29,19,1103,3,6,9,32,2,0,3,6,2,0,20,0,-
 Dwight,McNeil, Dwight McNeil,F,burnley,21,19,1519,3,5,9,29,2,0,3,5,2,0,0,0,-
 Matthew,Lowton, Matthew Lowton,D,burnley,21,19,1118,0,0,0,3,7,0,0,0,7,0,38,0,-
