player,AGE,WEEKLY SALARY,,
Mesut Ozil,29,"350,000",,
Pierre-Emerick Aubameyang,29,"200,000",,
Alexandre Lacazette,27,"182,063",,
Henrikh Mkhitaryan,29,"180,000",,
Danny Welbeck,27,"125,000",,
Aaron Ramsey,27,"120,000",,
Hector Bellerin,23,"110,000",,
Petr Cech,36,"110,000",,
Sead Kolasinac,25,"100,000",,
Bernd Leno,26,"100,000",,
Granit Xhaka,25,"100,000",,
Sokratis Papastathopoulos,30,"92,000",,
Laurent Koscielny,32,"90,000",,
Shkodran Mustafi,26,"90,000",,
Stephan Lichtsteiner,34,"75,000",,
Lucas Torreira,22,"75,000",,
Nacho Monreal,32,"70,000",,
Mohamed Elneny,26,"50,000",,
Alex Iwobi,22,"50,000",,
Carl Jenkinson,26,"45,000",,
Matteo Guendouzi,19,"40,000",,
Ainsley Maitland-Niles,0,"35,000",,
Rob Holding,22,"25,000",,
Konstantinos Mavropanos,20,"25,000",,
Emiliano Martinez,25,"20,000",,
Reiss Nelson,18,,,-
Asmir Begovic,31,"70,000",,
Nathaniel Clyne?,27,"70,000",,
Jefferson Lerma,23,"50,000",,
Steve Cook,27,"45,000",,
Joshua King,26,"45,000",,
Nathan Ake,23,"40,000",,
Artur Boruc,38,"40,000",,
Callum Wilson,26,"40,000",,
Jordon Ibe,22,"38,000",,
Lewis Cook,21,"35,000",,
Charlie Daniels,31,"35,000",,
Dan Gosling,28,"35,000",,
Adam Smith,27,"35,000",,
Junior Stanislas,28,"35,000",,
Andrew Surman,32,"35,000",,
Simon Francis,33,"30,000",,
Ryan Fraser,24,"27,000",,
Dominic Solanke?,20,"25,000",,
David Brooks,21,"20,000",,
Lys Mousset,22,"20,000",,
Diego Rico,25,"19,250",,
Emerson Hyndman,22,"15,000",,
Chris Mepham,20,"11,673",,
Jack Simpson,21,"3,000",,
Sam Surridge,20,,,-
Mark Travers,19,,,-
Pascal Gross,27,"50,000",,
Alireza Jahanbakhsh,25,"50,000",,
Martin Montoya,27,"50,000",,
Lewis Dunk,26,"45,000",,
Jose Izquierdo,26,"45,000",,
Jurgen Locadia,24,"45,000",,
Davy Propper,26,"45,000",,
Florin Andone,25,"40,000",,
Shane Duffy,26,"40,000",,
Anthony Knockaert,26,"35,000",,
Mathew Ryan,26,"35,000",,
Ezequiel Schelotto,29,"32,000",,
Solly March,24,"30,000",,
Glenn Murray,34,"30,000",,
Dale Stephens,28,"30,000",,
Yves Bissouma,21,"25,000",,
Bernardo Fernandes da Silva Junior,23,"25,000",,
Beram Kayal,30,"25,000",,
Gaetan Bong,30,"20,000",,
